,Title,Price,MRP,Discount,Reviews
0,Durex Intense Condoms for her - 10 Count | Dotted and Ribbed condom with Desirex gel,314.0,31.4,-900.0000000000002,4.1
1,Durex Close Fit Invisible Condoms for Men - 10s | Ultra Thin Condom,371.0,37.1,-899.9999999999998,3.8
2,Manforce Xotic Strawberry Flavoured Condoms for Men | 40 pcs | Extra Dotted & Lubricated Latex Condoms | For Enhanced Pleasure of Both| Indiaâ€™s No. 1* Condom Brand for Safe Sex,245.0,61.25,-300.0,4.0
3,Moods All Night -20's Condom With 2 Piece Extra,140.0,5.83,-2301.372212692967,3.1
4,Okamoto Condom | Ultra Thin Condoms for Men | Thinnest Premium Snug Fit Condoms | Made In Japan | 0.03 mm thin | 003 Realfit (Pack of 1),445.0,44.5,-900.0,4.0
5,Bold Care 404 All-In-One Multi-Flavour Condoms Pack - 2 x 5 Assorted condoms in each pack - (Pack of 3),249.0,83.0,-200.0,4.2
6,"Manforce Overtime Combo | 20 pcs | Orange & Pineapple Flavoured | Dotted, Contoured & Ribbed Condoms | For Long-Lasting Pleasure Of Both | Indiaâ€™s No. 1* Condom Brand for Safe Sex",226.0,11.3,-1899.9999999999995,3.9
7,Notty Boy BiggBang Long Lasting Condoms 10 Pcs | Dotted and ribbed texture with delay lubricant,159.0,15.9,-900.0,3.6
8,SellRider Dragon Condom 8-Inch For Mens,259.0,259.0,0.0,3.0
9,"Durex Condoms, Extra Ribbed- 10s (Pack of 3)",814.0,27.13,-2900.3685956505715,4.3
10,SKYN Intense Feel Super Dotted Condoms for Her (10 count) and SKYNÂ® Elite ultra thin and ultra soft premium condoms (9 Count) Pack of 19 condoms | Feel Everything | Latex Free,627.0,33.0,-1800.0,5.0
11,"Lelo Hex The Re-Engineered Luxury Condoms With Unique Hexagonal Structure, 12 Count",3377.0,281.47,-1099.7726223043308,4.3
12,"NOTTY BOY Combo Condom Set â€“ Raised Dots, 3-In-One Ribbed, Dotted, Contoured, Extra Lubricated, Strawberry, Bubblegum, Banana and Chocolate Flavoured - 80 Pieces",459.0,5.74,-7896.515679442508,4.1
13,"Plush LoveGlove Extra Super Dotted Condoms For Men, Unflavoured - 10 Count | Naturally Sourced Latex For Sensitive Skin | Designed For Comfortable Fit, No Benzocaine, Vegan",269.0,26.9,-900.0,4.2
14,"Bleu Spiral Toxin Free Condoms for Men - Unique Shaped head (first in India) for enhanced stimulation, improved experience, vegan & odourless , Pack of 2 (16 Count)",295.0,18.44,-1499.7830802603034,3.8
15,"KAMA SUTRA Pleasure Series Condoms for Men, SuperThin Condoms, Extra Thin for Natural Sensations, 20 Premium Condoms",185.0,9.25,-1900.0,4.0
16,"Okamoto Condoms | Crown - Ultra Thin Condoms for Male | Harmony - Dotted Condoms for Mens | Combo Pack (Pack of 2, 20 Counts)",399.0,19.95,-1900.0,3.9
17,KAMA SUTRA Condoms - Longlast (Pack Of 20),230.0,11.5,-1900.0,3.9
18,Bold Care 404 Super Ultra Thin Chocolate Flavored Condoms For Men - 60 Microns - 10 Units + Bold Care 404 Super Ultra Thin Strawberry Flavored Condoms For Men - 60 Microns - 10 Units - Combo pack,169.0,16.9,-900.0,3.8
19,"Kamasutra Orgamax & Longlast Condom Combo- 24 Condoms Condom (Set of 2, 12 Each, 24 Sheets)",245.0,10.21,-2299.6082272282074,4.0
20,"KamaSutra Pleasure Series Condoms for Men, LongLast Condoms, Contains Active Ingredient for Climax Delay, Dotted Texture, 20 Premium Condoms (Pack of 2)",305.0,7.63,-3897.37876802097,4.1
